id,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
213,male,5-14 years,0,282678,0.0,Albania2006,,"8,992,642,349",3235,Millenials
214,male,55-74 years,0,219360,0.0,Albania2006,,"8,992,642,349",3235,Silent
215,male,75+ years,0,40782,0.0,Albania2006,,"8,992,642,349",3235,Silent
216,male,75+ years,8,42366,18.88,Albania2007,,"10,701,011,897",3863,Silent
217,male,35-54 years,29,378626,7.66,Albania2007,,"10,701,011,897",3863,Boomers
218,male,55-74 years,14,224160,6.25,Albania2007,,"10,701,011,897",3863,Silent
219,female,75+ years,3,57404,5.23,Albania2007,,"10,701,011,897",3863,Silent
220,male,25-34 years,9,172494,5.22,Albania2007,,"10,701,011,897",3863,Generation X
221,female,15-24 years,13,281080,4.63,Albania2007,,"10,701,011,897",3863,Millenials
222,male,15-24 years,13,288349,4.51,Albania2007,,"10,701,011,897",3863,Millenials
223,female,25-34 years,8,183629,4.36,Albania2007,,"10,701,011,897",3863,Generation X
224,female,55-74 years,9,221120,4.07,Albania2007,,"10,701,011,897",3863,Silent
225,female,35-54 years,14,391811,3.57,Albania2007,,"10,701,011,897",3863,Boomers
226,male,5-14 years,4,272497,1.47,Albania2007,,"10,701,011,897",3863,Generation Z
227,female,5-14 years,0,256808,0.0,Albania2007,,"10,701,011,897",3863,Generation Z
228,male,25-34 years,21,172855,12.15,Albania2008,,"12,881,352,688",4672,Generation X
229,male,35-54 years,37,377119,9.81,Albania2008,,"12,881,352,688",4672,Boomers
230,male,55-74 years,21,228672,9.18,Albania2008,,"12,881,352,688",4672,Silent
231,female,75+ years,5,59369,8.42,Albania2008,,"12,881,352,688",4672,Silent
232,female,15-24 years,20,276073,7.24,Albania2008,,"12,881,352,688",4672,Millenials
233,female,25-34 years,9,182663,4.93,Albania2008,,"12,881,352,688",4672,Generation X
234,female,35-54 years,19,393832,4.82,Albania2008,,"12,881,352,688",4672,Boomers
235,male,75+ years,2,44574,4.49,Albania2008,,"12,881,352,688",4672,Silent
236,male,15-24 years,11,286702,3.84,Albania2008,,"12,881,352,688",4672,Millenials
237,female,55-74 years,7,226448,3.09,Albania2008,,"12,881,352,688",4672,Silent
238,male,5-14 years,7,262464,2.67,Albania2008,,"12,881,352,688",4672,Generation Z
239,female,5-14 years,1,246288,0.41,Albania2008,,"12,881,352,688",4672,Generation Z
240,female,15-24 years,0,270003,0.0,Albania2009,,"12,044,212,904",4387,Millenials
241,female,25-34 years,0,182712,0.0,Albania2009,,"12,044,212,904",4387,Generation X
242,female,35-54 years,0,394286,0.0,Albania2009,,"12,044,212,904",4387,Boomers
243,female,5-14 years,0,236174,0.0,Albania2009,,"12,044,212,904",4387,Generation Z
244,female,55-74 years,0,233302,0.0,Albania2009,,"12,044,212,904",4387,Silent
245,female,75+ years,0,61582,0.0,Albania2009,,"12,044,212,904",4387,Silent
246,male,15-24 years,0,283448,0.0,Albania2009,,"12,044,212,904",4387,Millenials
247,male,25-34 years,0,174955,0.0,Albania2009,,"12,044,212,904",4387,Generation X
248,male,35-54 years,0,374365,0.0,Albania2009,,"12,044,212,904",4387,Boomers
249,male,5-14 years,0,253007,0.0,Albania2009,,"12,044,212,904",4387,Generation Z
250,male,55-74 years,0,234570,0.0,Albania2009,,"12,044,212,904",4387,Silent
251,male,75+ years,0,47331,0.0,Albania2009,,"12,044,212,904",4387,Silent
252,male,55-74 years,20,241852,8.27,Albania2010,0.722,"11,926,953,259",4359,Silent
253,male,35-54 years,20,371611,5.38,Albania2010,0.722,"11,926,953,259",4359,Generation X
254,male,25-34 years,9,179720,5.01,Albania2010,0.722,"11,926,953,259",4359,Generation X
255,male,75+ years,2,50767,3.94,Albania2010,0.722,"11,926,953,259",4359,Silent
256,male,15-24 years,10,279508,3.58,Albania2010,0.722,"11,926,953,259",4359,Millenials
257,female,25-34 years,6,183579,3.27,Albania2010,0.722,"11,926,953,259",4359,Generation X
258,female,75+ years,2,64415,3.1,Albania2010,0.722,"11,926,953,259",4359,Silent
259,female,35-54 years,12,394593,3.04,Albania2010,0.722,"11,926,953,259",4359,Generation X
260,female,55-74 years,7,241491,2.9,Albania2010,0.722,"11,926,953,259",4359,Silent
261,female,15-24 years,6,263581,2.28,Albania2010,0.722,"11,926,953,259",4359,Millenials
262,female,5-14 years,2,223969,0.89,Albania2010,0.722,"11,926,953,259",4359,Generation Z
263,male,5-14 years,0,240939,0.0,Albania2010,0.722,"11,926,953,259",4359,Generation Z
264,female,15-24 years,0,7709,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
265,female,25-34 years,0,6344,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Boomers
266,female,35-54 years,0,6173,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Silent
267,female,5-14 years,0,7339,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
268,female,55-74 years,0,3778,0.0,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
269,female,75+ years,0,949,0.0,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
270,male,15-24 years,0,7667,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
271,male,25-34 years,0,6194,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Boomers
272,male,35-54 years,0,5970,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Silent
273,male,5-14 years,0,7304,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
274,male,55-74 years,0,2723,0.0,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
275,male,75+ years,0,424,0.0,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
276,female,15-24 years,0,7668,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Generation X
277,female,25-34 years,0,6209,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Boomers
278,female,35-54 years,0,6101,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Silent
279,female,5-14 years,0,6907,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Generation X
280,female,55-74 years,0,3764,0.0,Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
281,female,75+ years,0,1014,0.0,Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
282,male,15-24 years,0,7563,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Generation X
283,male,25-34 years,0,6023,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Boomers
284,male,35-54 years,0,5947,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Silent
285,male,5-14 years,0,6827,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Generation X
286,male,55-74 years,0,2771,0.0,Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
287,male,75+ years,0,476,0.0,Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
288,female,15-24 years,0,7583,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Generation X
289,female,25-34 years,0,6101,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Boomers
290,female,35-54 years,0,6059,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Silent
291,female,5-14 years,0,6623,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Generation X
292,female,55-74 years,0,3738,0.0,Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
293,female,75+ years,0,1081,0.0,Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
294,male,15-24 years,0,7421,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Generation X
295,male,25-34 years,0,5893,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Boomers
296,male,35-54 years,0,5927,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Silent
297,male,5-14 years,0,6499,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Generation X
298,male,55-74 years,0,2798,0.0,Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
299,male,75+ years,0,538,0.0,Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
300,female,15-24 years,0,7413,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Generation X
301,female,25-34 years,0,6041,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Boomers
302,female,35-54 years,0,6021,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Silent
303,female,5-14 years,0,6527,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Generation X
304,female,55-74 years,0,3708,0.0,Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
305,female,75+ years,0,1141,0.0,Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
306,male,15-24 years,0,7209,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Generation X
307,male,25-34 years,0,5826,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Boomers
308,male,35-54 years,0,5907,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Silent
309,male,5-14 years,0,6355,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Generation X
310,male,55-74 years,0,2813,0.0,Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
311,male,75+ years,0,603,0.0,Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
312,female,15-24 years,0,7152,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Generation X
313,female,25-34 years,0,6059,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Boomers
314,female,35-54 years,0,5969,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Silent
315,female,5-14 years,0,6621,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Generation X
